Subject,Start Date,Start Time,End Date,End Time,Description,Location
Core Retail Sales m/m,04/01/2026,19:30,04/01/2026,20:30,"Bán lẻ lõi (bỏ xăng/ôtô). Nhu cầu nội địa.
F 0.3% · P 0.0% · A 0.5%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Retail Sales m/m,04/01/2026,19:30,04/01/2026,20:30,"Doanh số bán lẻ. Tiêu dùng — trụ tăng trưởng.
F 0.5% · P -0.1% · A 0.6%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
ISM Manufacturing PMI,04/01/2026,21:00,04/01/2026,22:00,"PMI sản xuất Mỹ. Trên/dưới 50 = mở rộng/co; so forecast mới là bất ngờ.
F 52.3 · P 52.4 · A 52.7
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Unemployment Claims,04/02/2026,19:30,04/02/2026,20:30,"Đơn xin thất nghiệp Mỹ hàng tuần. Labor sớm, ít nặng hơn NFP.
F 212K · P 211K · A 202K
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Non-Farm Employment Change,04/03/2026,19:30,04/03/2026,20:30,"Việc làm phi nông nghiệp Mỹ (NFP). Số việc mới — trụ labor, quyết định bias USD.
F 65K · P -133K · A 178K
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Unemployment Rate,04/03/2026,19:30,04/03/2026,20:30,"Tỷ lệ thất nghiệp. Cao hơn forecast = labor yếu hơn consensus.
F 4.4% · P 4.4% · A 4.3%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Core PCE Price Index m/m,04/09/2026,19:30,04/09/2026,20:30,"PCE lõi — thước lạm phát Fed ưu tiên. Trụ dual mandate.
F 0.4% · P 0.4% · A 0.4%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Final GDP q/q,04/09/2026,19:30,04/09/2026,20:30,"GDP lần cuối của quý. Ít bất ngờ hơn advance.
F 0.7% · P 0.7% · A 0.5%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
CPI m/m,04/10/2026,19:30,04/10/2026,20:30,"Giá tiêu dùng. Nóng hơn forecast = lạm phát cao hơn consensus.
F 1.0% · P 0.3% · A 0.9%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
CPI y/y,04/10/2026,19:30,04/10/2026,20:30,"Giá tiêu dùng. Nóng hơn forecast = lạm phát cao hơn consensus.
F 3.4% · P 2.4% · A 3.3%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
